op_id,device_id,patient_id,operation,algo,payload_bytes,duration_ms,result
W055_512,W055,P055,encrypt,AES-GCM-128,512,0.027,ok
W055_1024,W055,P055,encrypt,AES-GCM-128,1024,0.041,ok
W055_2048,W055,P055,encrypt,AES-GCM-128,2048,0.032,ok
W055_4096,W055,P055,encrypt,AES-GCM-128,4096,0.037,ok
W056_256,W056,P056,encrypt,AES-GCM-128,256,0.026,ok
W056_512,W056,P056,encrypt,AES-GCM-128,512,0.028,ok
W056_1024,W056,P056,encrypt,AES-GCM-128,1024,0.029,ok
W056_2048,W056,P056,encrypt,AES-GCM-128,2048,0.031,ok
W056_4096,W056,P056,encrypt,AES-GCM-128,4096,0.056,ok
W057_256,W057,P057,encrypt,AES-GCM-128,256,0.026,ok
W057_512,W057,P057,encrypt,AES-GCM-128,512,0.027,ok
W057_1024,W057,P057,encrypt,AES-GCM-128,1024,0.029,ok
W057_2048,W057,P057,encrypt,AES-GCM-128,2048,0.065,ok
W057_4096,W057,P057,encrypt,AES-GCM-128,4096,0.066,ok
W058_256,W058,P058,encrypt,AES-GCM-128,256,0.036,ok
W058_512,W058,P058,encrypt,AES-GCM-128,512,0.038,ok
W058_1024,W058,P058,encrypt,AES-GCM-128,1024,0.036,ok
W058_2048,W058,P058,encrypt,AES-GCM-128,2048,0.05,ok
W058_4096,W058,P058,encrypt,AES-GCM-128,4096,0.048,ok
W059_256,W059,P059,encrypt,AES-GCM-128,256,0.034,ok
W059_512,W059,P059,encrypt,AES-GCM-128,512,0.03,ok
W059_1024,W059,P059,encrypt,AES-GCM-128,1024,0.033,ok
W059_2048,W059,P059,encrypt,AES-GCM-128,2048,0.035,ok
W059_4096,W059,P059,encrypt,AES-GCM-128,4096,0.042,ok
W060_256,W060,P060,encrypt,AES-GCM-128,256,0.029,ok
W060_512,W060,P060,encrypt,AES-GCM-128,512,0.031,ok
W060_1024,W060,P060,encrypt,AES-GCM-128,1024,0.032,ok
W060_2048,W060,P060,encrypt,AES-GCM-128,2048,0.033,ok
W060_4096,W060,P060,encrypt,AES-GCM-128,4096,0.046,ok
W061_256,W061,P061,encrypt,AES-GCM-128,256,0.027,ok
W061_512,W061,P061,encrypt,AES-GCM-128,512,0.035,ok
W061_1024,W061,P061,encrypt,AES-GCM-128,1024,0.031,ok
W061_2048,W061,P061,encrypt,AES-GCM-128,2048,0.036,ok
W061_4096,W061,P061,encrypt,AES-GCM-128,4096,0.039,ok
W062_256,W062,P062,encrypt,AES-GCM-128,256,0.028,ok
W062_512,W062,P062,encrypt,AES-GCM-128,512,0.04,ok
W062_1024,W062,P062,encrypt,AES-GCM-128,1024,0.031,ok
W062_2048,W062,P062,encrypt,AES-GCM-128,2048,0.032,ok
W062_4096,W062,P062,encrypt,AES-GCM-128,4096,0.048,ok
W063_256,W063,P063,encrypt,AES-GCM-128,256,0.026,ok
W063_512,W063,P063,encrypt,AES-GCM-128,512,0.028,ok
W063_1024,W063,P063,encrypt,AES-GCM-128,1024,0.042,ok
W063_2048,W063,P063,encrypt,AES-GCM-128,2048,0.041,ok
W063_4096,W063,P063,encrypt,AES-GCM-128,4096,0.04,ok
W064_256,W064,P064,encrypt,AES-GCM-128,256,0.027,ok
W064_512,W064,P064,encrypt,AES-GCM-128,512,0.028,ok
W064_1024,W064,P064,encrypt,AES-GCM-128,1024,0.03,ok
W064_2048,W064,P064,encrypt,AES-GCM-128,2048,0.032,ok
W064_4096,W064,P064,encrypt,AES-GCM-128,4096,0.038,ok
W065_256,W065,P065,encrypt,AES-GCM-128,256,0.027,ok
W065_512,W065,P065,encrypt,AES-GCM-128,512,0.028,ok
W065_1024,W065,P065,encrypt,AES-GCM-128,1024,0.031,ok
W065_2048,W065,P065,encrypt,AES-GCM-128,2048,0.032,ok
W065_4096,W065,P065,encrypt,AES-GCM-128,4096,0.039,ok
W066_256,W066,P066,encrypt,AES-GCM-128,256,0.027,ok
W066_512,W066,P066,encrypt,AES-GCM-128,512,0.028,ok
W066_1024,W066,P066,encrypt,AES-GCM-128,1024,0.035,ok
W066_2048,W066,P066,encrypt,AES-GCM-128,2048,0.037,ok
W066_4096,W066,P066,encrypt,AES-GCM-128,4096,0.038,ok
W067_256,W067,P067,encrypt,AES-GCM-128,256,0.026,ok
W067_512,W067,P067,encrypt,AES-GCM-128,512,0.047,ok
W067_1024,W067,P067,encrypt,AES-GCM-128,1024,0.03,ok
W067_2048,W067,P067,encrypt,AES-GCM-128,2048,0.032,ok
W067_4096,W067,P067,encrypt,AES-GCM-128,4096,0.046,ok
W068_256,W068,P068,encrypt,AES-GCM-128,256,0.027,ok
W068_512,W068,P068,encrypt,AES-GCM-128,512,0.03,ok
